origem,destino
2200053,2201739
2200053,2207801
2200053,2208650
2200103,2205540
2200103,2206308
2200103,2210508
2200202,2204600
2200202,2205540
2200202,2207108
2200202,2209807
2200202,2210508
2200251,2202133
2200251,2206506
2200251,2208205
2200251,2210300
2200251,2211605
2200277,2202091
2200277,2204154
2200277,2204303
2200277,2207207
2200277,2210300
2200277,2211605
2200301,2201606
2200301,2202208
2200301,2202737
2200301,2206951
2200301,2207793
2200301,2208601
2200301,2209906
2200301,2210383
2200301,2210409
2200400,2202208
2200400,2202737
2200400,2205508
2200400,2207793
2200400,2211001
2200459,2202307
2200459,2202752
2200459,2203107
2200459,2205904
2200459,2207405
2200459,2211209
2200509,2200608
2200509,2201002
2200509,2203909
2200509,2204105
2200509,2207504
2200509,2208809
2200608,2205250
2200608,2207504
2200608,2208809
2200608,2209450
2200608,2209807
2200608,2210508
2200707,2201929
2200707,2205532
2200707,2209559
2200707,2211357
2200806,2205607
2200806,2208551
2200806,2210631
2200806,2211209
2200905,2203503
2200905,2208106
2200905,2209153
2200905,2209609
2200905,2210409
2200905,2211308
2200954,2204352
2200954,2205003
2200954,2207553
2200954,2208007
2200954,2209104
2201002,2202075
2201002,2204006
2201002,2204105
2201002,2206704
2201002,2208809
2201002,2210979
2201002,2211407
2201051,2208106
2201051,2210409
2201101,2203206
2201101,2205524
2201101,2206654
2201150,2201903
2201150,2203230
2201150,2204402
2201150,2207405
2201150,2208908
2201150,2209203
2201150,2211209
2201176,2203503
2201176,2204006
2201176,2206902
2201176,2207009
2201176,2211407
2201200,2201507
2201200,2201770
2201200,2202059
2201200,2202174
2201200,2203701
2201200,2206209
2201200,2206803
2201200,2208403
2201309,2204402
2201309,2209757
2201408,2206407
2201408,2207108
2201408,2207751
2201507,2201960
2201507,2203701
2201507,2205409
2201507,2208304
2201507,2208403
2201507,2210052
2201556,2202117
2201556,2202802
2201556,2207959
2201556,2209658
2201556,2210805
2201572,2202133
2201572,2205201
2201572,2206050
2201572,2207207
2201572,2210706
2201572,2211605
2201606,2203305
2201606,2205581
2201606,2206407
2201606,2207751
2201606,2207793
2201606,2210383
2201705,2202251
2201705,2203602
2201705,2205904
2201705,2210631
2201739,2203271
2201739,2207801
2201770,2201945
2201770,2202059
2201770,2202406
2201770,2208403
2201804,2209401
2201804,2209856
2201804,2210201
2201804,2210375
2201804,2210938
2201903,2203230
2201903,2204402
2201903,2204550
2201903,2206605
2201903,2206654
2201903,2208700
2201903,2209302
2201919,2202000
2201919,2202703
2201919,2205706
2201919,2207702
2201929,2209559
2201929,2210607
2201929,2211357
2201945,2202059
2201945,2202406
2201945,2202711
2201945,2206753
2201960,2203420
2201960,2208304
2201960,2208403
2201960,2209872
2201988,2202307
2201988,2205359
2201988,2205532
2201988,2207355
2201988,2208874
2201988,2209559
2201988,2210003
2201988,2210607
2201988,2210953
2202000,2202539
2202000,2202653
2202000,2202703
2202000,2206696
2202000,2207702
2202026,2202604
2202026,2205516
2202026,2206357
2202026,2207900
2202026,2210409
2202059,2202208
2202059,2205508
2202059,2205557
2202059,2206209
2202059,2206753
2202075,2206704
2202075,2207009
2202075,2209377
2202075,2210979
2202083,2205706
2202091,2204154
2202091,2204303
2202091,2205953
2202109,2203859
2202109,2204907
2202109,2209500
2202109,2210805
2202117,2202455
2202117,2205565
2202117,2207959
2202117,2209658
2202117,2210003
2202133,2204204
2202133,2205201
2202133,2206506
2202133,2211605
2202174,2203701
2202174,2206100
2202174,2206803
2202174,2208502
2202174,2209971
2202208,2202711
2202208,2202737
2202208,2205276
2202208,2205508
2202208,2206753
2202208,2206951
2202208,2210656
2202251,2203602
2202251,2205102
2202251,2205300
2202251,2205607
2202251,2207850
2202251,2210631
2202307,2202505
2202307,2202752
2202307,2203107
2202307,2203602
2202307,2204550
2202307,2207355
2202307,2207850
2202307,2209005
2202307,2210953
2202406,2202711
2202406,2205276
2202406,2206357
2202406,2207900
2202406,2208403
2202455,2203453
2202455,2205565
2202455,2210003
2202505,2204550
2202505,2205532
2202505,2210953
2202539,2202653
2202539,2202703
2202539,2205409
2202539,2208304
2202539,2210052
2202554,2203271
2202554,2205151
