source,target
1100015,1100148
1100015,1100288
1100015,1100296
1100015,1100320
1100015,1100379
1100015,1100502
1100015,1101492
1100023,1100114
1100023,1100130
1100023,1100262
1100023,1100403
1100023,1100452
1100023,1100601
1100023,1101401
1100023,1101609
1100023,1101757
1100031,1100064
1100031,1101468
1100031,5103304
1100049,1100098
1100049,1100189
1100049,1100254
1100049,1100288
1100049,1100908
1100049,1101203
1100049,5107578
1100056,1100064
1100056,1100072
1100056,1101468
1100064,1100072
1100064,1100304
1100064,1100924
1100064,1101468
1100064,5103304
1100072,1100924
1100072,1101468
1100080,1100106
1100080,1101492
1100080,1101500
1100098,1100189
1100098,1100304
1100098,5105150
1100098,5107578
1100106,1100320
1100106,1100338
1100106,1100700
1100106,1101005
1100106,1101500
1100114,1100155
1100114,1100601
1100114,1101005
1100114,1101302
1100114,1101435
1100114,1101609
1100114,1101807
1100122,1100155
1100122,1100254
1100122,1101203
1100122,1101559
1100122,1101609
1100122,1101708
1100122,1101757
1100122,1101807
1100122,5103254
1100122,5107578
1100130,1100205
1100130,1100262
1100130,1100940
1100130,1101757
1100130,1301704
1100130,1302702
1100130,1303304
1100130,5103254
1100148,1100254
1100148,1100320
1100148,1100346
1100148,1100502
1100148,1100908
1100155,1101435
1100155,1101559
1100155,1101807
1100189,1100288
1100189,1100304
1100189,1100924
1100189,1101450
1100189,1101476
1100189,1101484
1100205,1100338
1100205,1100403
1100205,1100452
1100205,1100809
1100205,1100940
1100205,1101104
1100205,1200013
1100205,1300904
1100205,1301704
1100205,1302405
1100254,1100346
1100254,1100908
1100254,1101203
1100254,1101708
1100262,1100403
1100262,1100940
1100288,1100296
1100288,1100502
1100288,1100908
1100288,1101484
1100296,1100379
1100296,1101450
1100296,1101484
1100304,1100924
1100304,5103304
1100304,5105150
1100304,5107578
1100320,1100346
1100320,1101005
1100320,1101492
1100320,1101500
1100338,1100452
1100338,1100700
1100346,1101005
1100346,1101302
1100346,1101708
1100379,1101450
1100379,1101468
1100403,1100452
1100403,1100809
1100403,1100940
1100403,1101104
1100403,1101401
1100452,1100700
1100452,1101401
1100502,1100908
1100601,1101005
1100601,1101401
1100700,1101005
1100700,1101401
1100809,1100940
1100809,1101104
1100924,1101450
1100924,1101468
1100940,1101104
1101005,1101302
1101005,1101401
1101203,5107578
1101302,1101435
1101302,1101708
1101435,1101559
1101435,1101708
1101450,1101468
1101450,1101476
1101450,1101484
1101476,1101484
1101492,1101500
1101559,1101708
1101609,1101757
1101609,1101807
1101757,5103254
1200013,1200385
1200013,1200450
1200013,1302405
