code_muni,name,state,lat,lon
5200050,Abadia de Goiás,GO,-16.7911281,-49.45440324494405
3100104,Abadia dos Dourados,MG,-18.3733795,-47.4886698570686
5200100,Abadiânia,GO,-16.16852705,-48.74507758957026
3100203,Abaeté,MG,-19.0972285,-45.3711372889194
1500107,Abaetetuba,PA,-1.7391819,-48.85512636137302
2300101,Abaiara,CE,-7.3436471,-39.04264852442731
2900108,Abaíra,BA,-13.29835615,-41.751575549257616
2900207,Abaré,BA,-8.85284185,-39.302822407495455
4100103,Abatiá,PR,-23.3037572,-50.34021290648813
4200051,Abdon Batista,SC,-27.58444075,-51.05919460411091
4200101,Abelardo Luz,SC,-26.575167099999994,-52.243790693095
1500131,Abel Figueiredo,PA,-4.962741899999999,-48.39398587414348
3100302,Abre Campo,MG,-20.2810085,-42.47093974597351
2600054,Abreu E Lima,PE,-7.86450335,-35.08337413888067
1700251,Abreulândia,TO,-9.46046235,-49.344858317090456
3100401,Acaiaca,MG,-20.3982595,-43.11145305498515
2100055,Açailândia,MA,-4.702721199999999,-47.113032563960914
2900306,Acajutiba,BA,-11.67544745,-37.986997945062576
1500206,Acará,PA,-2.0345515,-48.32055626984924
2300150,Acarape,CE,-4.22503755,-38.64599456459168
2300200,Acaraú,CE,-3.0610047,-40.03857173614395
2400109,Acari,RN,-6.4303382,-36.63661777439391
2200053,Acauã,PI,-8.330332899999998,-40.984256984510694
4300034,Aceguá,RS,-31.69396605,-54.181244698846854
2300309,Acopiara,CE,-6.1488271999999995,-39.53887732908849
5100102,Acorizal,MT,-15.194418899999999,-56.317773994760785
1200013,Acrelândia,AC,-9.9543257,-66.88032715794014
5200134,Acreúna,GO,-17.424431249999998,-50.32716916703916
2400208,Açu,RN,-5.5927421,-37.01241359691431
3100500,Açucena,MG,-19.075666,-42.467024221352055
3500105,Adamantina,SP,-21.58223305,-51.03413029419883
5200159,Adelândia,GO,-16.383344649999998,-50.185078240974875
3500204,Adolfo,SP,-21.2807914,-49.6414671620348
4100202,Adrianópolis,PR,-24.7890943,-48.799378059237654
2900355,Adustina,BA,-10.576913000000001,-38.022802848805384
2600104,Afogados da Ingazeira,PE,-7.751148799999999,-37.60227605677591
2400307,Afonso Bezerra,RN,-5.4751753999999995,-36.576671261124005
3200102,Afonso Cláudio,ES,-20.08887745,-41.10194231645883
2100105,Afonso Cunha,MA,-4.2200562,-43.32970476055985
2600203,Afrânio,PE,-8.6000911,-40.995737310482255
1500305,Afuá,PA,-0.23495205000000002,-50.74082686783706
2600302,Agrestina,PE,-8.459098049999998,-35.949056711039525
2200103,Agricolândia,PI,-5.76815575,-42.67202000161201
4200200,Agrolândia,SC,-27.46707005,-49.8524404059965
4200309,Agronômica,SC,-27.321426749999997,-49.719226440283016
1500347,Água Azul do Norte,PA,-6.7626112,-50.32883724901301
3100609,Água Boa,MG,-18.013902,-42.28340932876712
5100201,Água Boa,MT,-14.088368449999999,-52.43835383249038
2700102,Água Branca,AL,-9.25065895,-37.88363796574646
2500106,Água Branca,PB,-7.486201499999999,-37.63919785762086
2200202,Água Branca,PI,-5.9053799,-42.631819067247285
5000203,Água Clara,MS,-20.147330450000002,-52.93007252486904
3100708,Água Comprida,MG,-19.995993999999996,-48.06244009629464
4200408,Água Doce,SC,-26.816686499999996,-51.56398846336601
2100154,Água Doce do Maranhão,MA,-2.9235024999999997,-42.154946948722284
3200169,Água Doce do Norte,ES,-18.518942599999995,-40.97183549892874
2900405,Água Fria,BA,-11.82184535,-38.7212951874764
5200175,Água Fria de Goiás,GO,-14.895268100000001,-47.786496252528735
3500303,Aguaí,SP,-22.0571649,-47.053056557692415
5200209,Água Limpa,GO,-18.07456835,-48.799119778958236
3100807,Aguanil,MG,-20.981913,-45.43063296428985
2400406,Água Nova,RN,-6.20530875,-38.31243990041753
2600401,Água Preta,PE,-8.6753553,-35.48062458104607
